Arist(s) Name|Track Name|Album Name|Length|SpotifyID|ISRC|Release Date|Popularity
Glass Animals | Heat Waves | Dreamland (+ Bonus Levels) | 00:03:58 | 4TPrUBWVY8y0X5RCh4QDfJ | GBUM72000433 | 2021-09-09 | 34
Glass Animals | Helium | Dreamland (+ Bonus Levels) | 00:05:28 | 5Q1RHjYvlDjJjkqYh20Tb5 | GBUM72000426 | 2021-09-09 | 26
Glass Animals | I Don't Wanna Talk (I Just Wanna Dance) | Dreamland (+ Bonus Levels) | 00:03:15 | 6IbCvfmmICEEAyDwQ9zcbt | GBUM72105458 | 2021-09-09 | 64
Fall Out Boy | The Phoenix | Save Rock And Roll | 00:04:04 | 53AuxddsgPSlqM619nJhSd | USUM71302620 | 2013-04-12 | 59
Fall Out Boy | My Songs Know What You Did In The Dark (Light Em Up) | Save Rock And Roll | 00:03:06 | 7s0lDK7y3XLmI7tcsRAbW0 | USUM71300299 | 2013-04-12 | 64
Fall Out Boy | Alone Together | Save Rock And Roll | 00:03:23 | 5MsZIaCYY6Tsdph0LiB0hE | USUM71302625 | 2013-04-12 | 62
Fall Out Boy | Where Did The Party Go | Save Rock And Roll | 00:04:03 | 66324Jt0mZdXaM7f8uUitE | USUM71302626 | 2013-04-12 | 56
Fall Out Boy; Foxes | Just One Yesterday | Save Rock And Roll | 00:04:04 | 0l2p5mDOP3czJ2FpD6zWie | USUM71302630 | 2013-04-12 | 52
Fall Out Boy; Big Sean | The Mighty Fall | Save Rock And Roll | 00:03:32 | 49nmsafpkJp2lDj9b4jkxh | USUM71302619 | 2013-04-12 | 51
Fall Out Boy | Miss Missing You | Save Rock And Roll | 00:03:31 | 05Z77MHLPcBA2Wd5eDSJzl | USUM71302624 | 2013-04-12 | 53
Fall Out Boy | Death Valley | Save Rock And Roll | 00:03:46 | 3iJmiaoZWzykf3Hl4IeYtI | USUM71302627 | 2013-04-12 | 50
Fall Out Boy | Young Volcanoes | Save Rock And Roll | 00:03:24 | 3nSiB5WCF2pmRQrYSsteHv | USUM71302628 | 2013-04-12 | 56
Fall Out Boy; Courtney Love | Rat A Tat | Save Rock And Roll | 00:04:01 | 6VOWUjl7sumb6IpBPkjQat | USUM71302623 | 2013-04-12 | 50
Fall Out Boy; Elton John | Save Rock And Roll | Save Rock And Roll | 00:04:41 | 0XJDfLHO7C6b0GpjeB5mpu | USUM71302621 | 2013-04-12 | 48
Kanye West | Stronger | Graduation (UK Version) | 00:05:11 | 4y6c5vMzKKM3KsMbHtjKx5 | USUM70741299 | 2007-09-11 | 10
Chester See; Kevjumba; Ryan Higa | Nice Guys | Nice Guys | 00:02:34 | 2zSKv1vA08xkdYlSEpYe1L | TCAAY1145166 | 2011-05-28 | 40
My Chemical Romance | Teenagers | The Black Parade | 00:02:41 | 7j31rVgGX9Q2blT92VBEA0 | USRE10602912 | 2006-10-20 | 82
Phoenix | Lisztomania | Wolfgang Amadeus Phoenix | 00:04:01 | 7hwcojGiRqYm100tSmpZE3 | FR31Q0900001 | 2009-05-25 | 1
Weezer | Beverly Hills | Make Believe (UK Version) | 00:03:16 | 4tUYhIIjUoL1i41fqZaaBM | USIR10500448 | 2005-05-10 | 0
Steve Aoki; Lil Yachty; AJR | Pretender (feat. Lil Yachty & AJR) | Pretender (feat. Lil Yachty & AJR) | 00:03:08 | 0ftAX4mbuRx6Wr6PvpAIZs | USUS11800132 | 2018-05-18 | 43
Glass Animals | Tangerine | Dreamland (+ Bonus Levels) | 00:03:20 | 5VGEgFZfWBoEOGb3Vlo3rU | GBUM72000428 | 2020-08-06 | 1
Glass Animals | Space Ghost Coast To Coast | Dreamland (+ Bonus Levels) | 00:03:07 | 07ElML4j2iR5k1E6C0Uqzj | GBUM72000432 | 2020-08-06 | 0
Glass Animals; Denzel Curry | Tokyo Drifting | Dreamland (+ Bonus Levels) | 00:03:36 | 3Sj4lCOlYVeHpkvuc9W5Vn | GBUM71905642 | 2020-08-06 | 0
Glass Animals | Your Love (Déjà Vu) | Dreamland (+ Bonus Levels) | 00:03:54 | 3NAGZe9GWtE8Nvfj6huEzE | GBUM72000802 | 2020-08-06 | 0
Glass Animals | Waterfalls Coming Out Your Mouth | Dreamland (+ Bonus Levels) | 00:02:41 | 6rg8jKMFjOcjSVDSCH9SHK | GBUM72000423 | 2020-08-06 | 0
Danza Kuduro | Danza Kuduro | Sol Party Hits | 00:03:18 | 0uoAmTvVL7XS1ZEW9EEBff | USA371661670 | 2013-10-31 | 17
Fleetwood Mac | Rhiannon | Greatest Hits | 00:04:12 | 5TWPfkeN07aERO0Yn2D2t2 | USWB19900188 | 1988-11-21 | 62
NF | CLOUDS | CLOUDS | 00:04:03 | 5UMMPHPp6vRP6ghPpSUOzp | USUM72101209 | 2021-02-18 | 55
JAY-Z; Justin Timberlake | Holy Grail | Magna Carta... Holy Grail | 00:05:38 | 37jTPJgwCCmIGMPB45jrPV | QMJMT1300025 | 2013-07-04 | 66
The Weeknd | The Hills | Beauty Behind The Madness | 00:04:02 | 7fBv7CLKzipRk6EC6TWHOB | USUG11500737 | 2015-08-28 | 88
The Weeknd | Can't Feel My Face | Beauty Behind The Madness | 00:03:33 | 22VdIZQfgXJea34mQxlt81 | USUG11500741 | 2015-08-28 | 84
Sixpence None The Richer | Kiss Me | Sixpence None the Richer | 00:03:28 | 754kgU5rWscRTfvlsuEwFp | USEE19900312 | 1997-11-22 | 86
Coldplay | Clocks | A Rush of Blood to the Head | 00:05:07 | 0BCPKOYdS2jbQ8iyB56Zns | GBAYE0200771 | 2002-08-27 | 88
The Downtown Fiction | I Just Wanna Run | Let's Be Animals | 00:03:19 | 3WLLJzllBEgPiSA0qd3BN3 | USAT21000239 | 2011-04-22 | 58
Two Door Cinema Club | What You Know | Tourist History | 00:03:11 | 3UjtIALeg72qmJiKPWBvM3 | FRU700900116 | 2010-02-17 | 6
Rihanna | Diamonds | Unapologetic (Edited Version) | 00:03:45 | 1z9kQ14XBSN0r2v6fx4IdG | USUM71211793 | 2012-01-01 | 75
Jimmy Eat World | The Middle | Bleed American | 00:02:45 | 6GG73Jik4jUlQCkKg9JuGO | USDW10110256 | 2001-07-17 | 84
Hot Chelle Rae; New Boyz | I Like It Like That (feat. New Boyz) | Whatever | 00:03:08 | 6eFahAdQgABBj1XOM99cBG | USRC11100786 | 2011-11-25 | 59
Hot Chelle Rae | Tonight Tonight | Whatever | 00:03:20 | 2i0AUcEnsDm3dsqLrFWUCq | USJI11100019 | 2011-11-25 | 71
Hot Chelle Rae | Honestly | Whatever | 00:03:21 | 5YhAAlelWek228jZzxgEfr | USRC11100857 | 2011-11-25 | 46
Mayday Parade | Jamie All Over | A Lesson In Romantics | 00:03:36 | 05qCCJQJiOwvPQBb7akf1R | US5260709901 | 2007-07-10 | 66
American Authors | Best Day Of My Life | Oh, What A Life | 00:03:14 | 5Hroj5K7vLpIG4FNCRIjbP | USUM71302187 | 2014-01-01 | 82
Leona Lewis | Bleeding Love | Spirit | 00:04:22 | 7wZUrN8oemZfsEd1CGkbXE | GBHMU0700049 | 2007 | 80
Kelly Clarkson | Stronger (What Doesn't Kill You) | Stronger (Deluxe Version) | 00:03:41 | 1nInOsHbtotAmEOQhtvnzP | GBCTA1100364 | 2011-10-24 | 77
Ed Sheeran | The A Team | + | 00:04:18 | 1VdZ0vKfR5jneCmWIUAMxK | GBAHS1100095 | 2011-09-09 | 75
Demi Lovato | La La Land | Don't Forget | 00:03:16 | 0M9VqYG0wVun054JIdwFO8 | USHR10824099 | 2008-01-01 | 61
Demi Lovato | Get Back | Don't Forget | 00:03:20 | 5rnLFnHktBdmpxwYXJXyQI | USHR10824059 | 2008-01-01 | 50
Demi Lovato | Don't Forget | Don't Forget | 00:03:43 | 4He7bzKBaiu7CRz4wGkZzx | USHR10824103 | 2008-01-01 | 57
Andy Grammer | Honey, I'm Good. | Magazines Or Novels | 00:03:19 | 4MflGTO2ZTcSQ12bWcyRgI | USZXT1400267 | 2014-08-05 | 6
Darude | Sandstorm | Before the Storm, Special Edition | 00:03:45 | 6Sy9BUbgFse0n0LPA5lwy5 | FISGC9900001 | 2001-01-01 | 73
LeAnn Rimes | Can't Fight The Moonlight | Coyote Ugly | 00:03:35 | 10FP9hm2aFfAIKEopqaG9D | USCRB0000703 | 2000-08-01 | 64
Wiz Khalifa | Bootsy Bellows | Rolling Papers 2 | 00:03:24 | 1TFsOckh4vFv092jOS0SHj | USAT21804238 | 2018-07-13 | 44
Beyoncé | Irreplaceable | B'Day Deluxe Edition | 00:03:47 | 6RX5iL93VZ5fKmyvNXvF1r | USSM10603620 | 2007-05-29 | 74
Khalid | Self | Self | 00:03:49 | 29uWfSrklmIxzRIqFFK9jj | USRC11900366 | 2019-03-28 | 49
PSY | Gangnam Style (강남스타일) | Gangnam Style (강남스타일) | 00:03:39 | 03UrZgTINDqvnUMbbIMhql | USUM71210283 | 2012-01-01 | 78
Jon Bellion | While You Count Sheep | Translations Through Speakers | 00:03:25 | 2XPNF1bC6w4HQUn8QPMsyn | USUM71705635 | 2013-02-20 | 44
Jason Derulo | Whatcha Say | Jason Derulo | 00:03:41 | 67T6l4q3zVjC5nZZPXByU8 | USWB10901504 | 2010-02-24 | 71
Hilary Duff; Haylie Duff | Our Lips Are Sealed | Most Wanted | 00:02:38 | 6pg7NgsyPxUKGMmhRBAAYo | USHR10421096 | 2005-01-01 | 44
Gorillaz; De La Soul | Feel Good Inc. | Demon Days | 00:03:42 | 0d28khcov6AiegSCpG5TuT | GBAYE0500172 | 2005-05-23 | 90
Cage The Elephant | Ain't No Rest For The Wicked - Original Version | Cage The Elephant | 00:02:55 | 7tCHpjktA50ihtkLz6bAnn | GBGLM0700133 | 2008-01-01 | 69
Adam Lambert | Whataya Want from Me | For Your Entertainment | 00:03:47 | 2rDwdvBma1O1eLzo29p2cr | GBCTA0900344 | 2009-11-23 | 64
Why Don't We | Fallin’ (Adrenaline) | The Good Times and The Bad Ones | 00:03:36 | 6nfqlFOMiWthaOEa53uU0v | USAT22005765 | 2021-01-15 | 64
Bleachers | I Wanna Get Better | Strange Desire | 00:03:24 | 1BwhFXqoIsePt21WyWIttb | USRC11400200 | 2014-07-14 | 65
Glass Animals | Black Mambo | ZABA (Deluxe) | 00:04:08 | 7bfjVe06NIMNzE9G2cO5fO | GBUM71303835 | 2014-06-06 | 45
Glass Animals | Gooey | ZABA (Deluxe) | 00:04:49 | 68ClfNyV71AjdTfGIyu4Gx | GBUM71400655 | 2014-06-06 | 47
Glass Animals | Wyrd | ZABA (Deluxe) | 00:04:05 | 2wbdVe8yLVVQ6Dt7neZdr2 | GB2DY1400015 | 2014-06-06 | 40
The Band CAMINO | Roses | Roses | 00:03:01 | 28Fqo5nrtgYj7czjeyHg04 | USAT22007312 | 2020-12-11 | 0
Muse | Uprising | The Resistance | 00:05:04 | 4VqPOruhp5EdPBeR92t6lQ | GBAHT0900320 | 2009-09-10 | 79
J. Cole | Work Out | Cole World: The Sideline Story | 00:03:55 | 2wAJTrFhCnQyNSD3oUgTZO | USQX91100801 | 2011-09-27 | 83
Colbie Caillat | Bubbly | Coco | 00:03:16 | 0rFOs9paloAvEtzwDX1Kmc | USUM70736197 | 2007-01-01 | 70
Imagine Dragons | I Bet My Life | Smoke + Mirrors | 00:03:12 | 15DrrIod12Tc2IoMaHiwlQ | USUM71415785 | 2014-09-18 | 61
All Time Low | Drugs & Candy | Last Young Renegade | 00:03:37 | 1isQMKYmpvJ4tOP8R2qkWr | USAT21700392 | 2017-06-02 | 49
Fall Out Boy | Thriller | Infinity On High | 00:03:29 | 07kBp5VuebubsozpQd3nyK | USUM70700328 | 2007-01-01 | 53
Fall Out Boy | "The Take Over, The Breaks Over" | Infinity On High | 00:03:33 | 3rG8ZkmKHb4Ms6CsSzEITv | USUM70700329 | 2007-01-01 | 66
Fall Out Boy | This Ain't A Scene, It's An Arms Race | Infinity On High | 00:03:32 | 1oagRT7LfpVlNJN6FSZDGp | USUM70619006 | 2007-01-01 | 74
Fall Out Boy | I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You) | Infinity On High | 00:03:31 | 6A9nyMBdNUzVcFHZUEZ71F | USUM70700316 | 2007-01-01 | 62
Fall Out Boy | Thnks fr th Mmrs | Infinity On High | 00:03:23 | 3Zwu2K0Qa5sT6teCCHPShP | USUM70700326 | 2007-01-01 | 81
Fall Out Boy | The Carpal Tunnel Of Love | Infinity On High | 00:03:23 | 6FAUi2Xm6RCF0wpwG8oXGZ | USUM70621622 | 2007-01-01 | 55
Fall Out Boy | Bang The Doldrums | Infinity On High | 00:03:31 | 1Fvf8AO4GWwjLU12Im0s0q | USUM70700333 | 2007-01-01 | 59
Fall Out Boy | Fame < Infamy | Infinity On High | 00:03:06 | 0EwfAdBab8DRcDCC1RKhMY | USUM70700334 | 2007-01-01 | 53
Fall Out Boy | You're Crashing, But You're No Wave | Infinity On High | 00:03:42 | 64CB5Vaexl0pcWuO6Yyco6 | USUM70700335 | 2007-01-01 | 51
Fall Out Boy | I've Got All This Ringing In My Ears And None On My Fingers | Infinity On High | 00:04:06 | 1CRVvwUopaV42bAEvoh194 | USUM70700336 | 2007-01-01 | 52
Kanye West; Big Sean; Pusha T; 2 Chainz | Mercy | Mercy | 00:05:29 | 4qikXelSRKvoCqFcHLB2H2 | USUM71203564 | 2012-01-01 | 72
Carrie Underwood | Before He Cheats | Some Hearts | 00:03:19 | 0ZUo4YjG4saFnEJhdWp9Bt | GBCTA0500197 | 2005-11-14 | 80
Miley Cyrus | See You Again | Meet Miley Cyrus | 00:03:10 | 3AjyOYxBv8bByfBtG5o9dP | USHR10723141 | 2007-06-26 | 72
Marianas Trench | Haven’t Had Enough | Ever After (Deluxe) | 00:03:28 | 7rjdleIbUO22mxrQ52Ml8l | CAB391100594 | 2014-01-01 | 0
Pharrell Williams | Happy - From "Despicable Me 2" | G I R L | 00:03:52 | 60nZcImufyMA1MKQY3dcCH | USQ4E1300686 | 2014-03-03 | 84
Rachel Platten | Fight Song | Wildfire | 00:03:24 | 37f4ITSlgPX81ad2EvmVQr | USSM11500753 | 2016-01-01 | 78
AJR | Yes I'm A Mess | Yes I'm A Mess | 00:02:44 | 4Yrt54xR4T8PPOZ7yf9kyT | USUG12305391 | 2023-09-29 | 60
Capital Cities | Safe And Sound | In A Tidal Wave Of Mystery | 00:03:13 | 1fzJyTCKeZuTSLByCsLRHl | USCA21203108 | 2013-09-17 | 3
Kesha | We R Who We R | Cannibal (Expanded Edition) | 00:03:24 | 3LUWWox8YYykohBbHUrrxd | USRC11000862 | 2010-11-19 | 77
Katy Perry | Hot N Cold | One Of The Boys | 00:03:40 | 1y4eb6hmAvsqlDOl3fx9kk | USCA20802544 | 2008-06-17 | 76
The Chainsmokers; Halsey | Closer | Closer | 00:04:04 | 7BKLCZ1jbUBVqRi2FVlTVw | USQX91601347 | 2016-07-29 | 89
Murray Head | One Night In Bangkok - Radio Edit / From “Chess” / Remastered 2016 | One Night In Bangkok (Radio Edit / From “Chess” / Remastered 2016) | 00:03:13 | 1xgqGXZW1udHCjuwjeRDVO | SEUM71600451 | 2016-02-26 | 64
lovelytheband | don't worry, you will | everything i could never say... | 00:03:17 | 09akcdeCiV2jIl6x9WpmxA | US4E41746606 | 2017-09-22 | 45
Neon Trees | Everybody Talks | Picture Show | 00:02:57 | 2iUmqdfGZcHIhS3b9E9EWq | USUM71119189 | 2012-01-01 | 82
Hippo Campus | Buttercup | Landmark | 00:03:46 | 6iCJCZqDJjmBxt07Oid6FI | QM5BK1600122 | 2017-02-24 | 61
Peach Tree Rascals | Mariposa | Mariposa | 00:03:30 | 4ja2gzrNh9VNigzoXfmbwD | QZFZ21934119 | 2019-08-28 | 2
Modjo | Lady - Hear Me Tonight | Modjo (Remastered) | 00:05:07 | 49X0LAl6faAusYq02PRAY6 | FR9W10100535 | 2001 | 84
Ashlee Simpson | Pieces Of Me | Autobiography | 00:03:36 | 7yXibbAYi4to5oQTeO738f | USMC10400225 | 2004-01-01 | 60
We The Kings | Turn it UP | Turn it UP | 00:03:23 | 4XrTv7AvIyVuDGLzJq3Tx4 | QMRSZ1902252 | 2019-10-25 | 0
Martin Garrix; Macklemore; Fall Out Boy | Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) | Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) | 00:02:43 | 7Feaw9WAEREY0DUOSXJLOM | NLM5S1900528 | 2019-04-25 | 73
Passenger | Let Her Go | All the Little Lights (Deluxe Version) | 00:04:12 | 0JmiBCpWc1IAc0et7Xm7FL | GBMQN1200012 | 2013-02-17 | 1
Cher Lloyd | Want U Back | Sticks & Stones | 00:03:34 | 5InWRmnfgjVwQWoXHNBATu | GBHMU1100104 | 2011-11-07 | 65
Britney Spears | Toxic | In The Zone | 00:03:18 | 6I9VzXrHxO9rA9A5euc8Ak | USJI10301005 | 2003-11-13 | 86
Childish Gambino | 3005 | Because The Internet | 00:03:54 | 3Z2sglqDj1rDRMF5x0Sz2R | USYAH1300213 | 2013-01-01 | 4
Avicii | Levels - Radio Edit | Levels | 00:03:19 | 5QjJgPU8AJeickx34f7on6 | SEUM71100962 | 2011-01-01 | 10
Tiësto; Matthew Koma | Wasted | A Town Called Paradise (Deluxe) | 00:03:10 | 7m3povhdMDLZwuEKak0l0n | CYA111400022 | 2014-06-13 | 64
Snoop Dogg; Wiz Khalifa; Bruno Mars | Young, Wild & Free (feat. Bruno Mars) | Young, Wild & Free (feat. Bruno Mars) | 00:03:27 | 5HQVUIKwCEXpe7JIHyY734 | USAT21102232 | 2011-10-11 | 78
Enrique Iglesias; Pitbull | I Like It | Euphoria (Standard US/Latin version) | 00:03:51 | 4nVyHATevhl5RC6Qmoko5H | GBUM71003038 | 2010-01-01 | 62
Corinne Bailey Rae | Put Your Records On | Corinne Bailey Rae | 00:03:35 | 2nGFzvICaeEWjIrBrL2RAx | GBAYE0501671 | 2006-01-01 | 82
EDEN | 2020 | no future | 00:03:31 | 6k07poaGGgQWBYbEaaSV2n | USUG11903239 | 2020-02-14 | 36
Taio Cruz | Dynamite | Rokstarr | 00:03:23 | 1DqdF42leyFIzqNDv9CjId | GBUM71003721 | 2010-01-01 | 74
Taio Cruz; Ludacris | Break Your Heart | Rokstarr | 00:03:06 | 1CdqVF1ywD0ZO1zXtB9yWa | GBUM71003723 | 2010-01-01 | 71
Taio Cruz | Higher | Rokstarr | 00:03:08 | 4PYTMO1VMWLPVvGUtqkUwv | GBUM71003722 | 2010-01-01 | 47
Christina Perri | a thousand years | a thousand years | 00:04:45 | 6lanRgr6wXibZr8KgzXxBl | USAT21102141 | 2011-10-18 | 86
Fall Out Boy | Stay Frosty Royal Milk Tea | MANIA | 00:02:51 | 0hfByzDRgR10HDLqm89lA9 | USUM71704113 | 2018-01-19 | 56
Fall Out Boy | The Last Of The Real Ones | MANIA | 00:03:50 | 1f6xYh2HSx8ttCjl4Pckep | USUM71704115 | 2018-01-19 | 54
Fall Out Boy | HOLD ME TIGHT OR DON’T | MANIA | 00:03:30 | 0Q9vbV7G2Q6lts13nY9YGP | USUM71704114 | 2018-01-19 | 58
Fall Out Boy | Wilson (Expensive Mistakes) | MANIA | 00:03:36 | 2W6kVW3UZ3hwr4qbfCDp6B | USUM71704116 | 2018-01-19 | 53
Fall Out Boy | Church | MANIA | 00:03:31 | 0OUQhRKgGSb0PPrLUuEQka | USUM71704117 | 2018-01-19 | 55
Fall Out Boy | Heaven’s Gate | MANIA | 00:03:45 | 4lN5YgMQNBANIKWSl6G54k | USUM71704118 | 2018-01-19 | 48
Fall Out Boy | Champion | MANIA | 00:03:12 | 1DRUwJSt2YOUUEz965OJ66 | USUM71704112 | 2018-01-19 | 56
Fall Out Boy; Burna Boy | Sunshine Riptide | MANIA | 00:03:24 | 0ZqqrBHeSeyZahfcyw9N8O | USUM71704119 | 2018-01-19 | 49
Fall Out Boy | Young And Menace | MANIA | 00:03:43 | 2wQA22CbUkSD38g5Doqd9a | USUM71703363 | 2018-01-19 | 47
Fall Out Boy | Bishops Knife Trick | MANIA | 00:04:23 | 5lKI9qLSJkWWJ6USwMu6jF | USUM71704120 | 2018-01-19 | 48
BØRNS | Electric Love | Dopamine | 00:03:38 | 2GiJYvgVaD2HtM8GqD9EgQ | USUM71416307 | 2015-10-16 | 82
Kanye West; Lil Pump | I Love It (& Lil Pump) | I Love It | 00:02:07 | 4S8d14HvHb70ImctNgVzQQ | USUM71814031 | 2018-09-07 | 71
Green Day | 21 Guns | 21st Century Breakdown | 00:05:21 | 64yrDBpcdwEdNY9loyEGbX | USRE10900679 | 2009-05-15 | 78
Marshmello; Anne-Marie | FRIENDS | FRIENDS | 00:03:22 | 08bNPGLD8AhKpnnERrAc6G | GBAHS1800025 | 2018-02-09 | 78
Coldplay | Viva La Vida | Viva La Vida or Death and All His Friends | 00:04:02 | 1mea3bSkSGXuIRvnydlB5b | GBAYE0800265 | 2008-06-06 | 90
Daren; Alex Charles | White Lies (feat. Alex Charles) | Lemon Grove | 00:02:57 | 2GsYhRWCg5uwTB0FxX1t67 | USLD91717690 | 2019-02-15 | 21
TLC | No Scrubs | Fanmail | 00:03:34 | 1KGi9sZVMeszgZOWivFpxs | USLF29900479 | 1999-02-23 | 83
Forever The Sickest Kids | Whoa Oh! (Me vs Everyone) | Underdog Alma Mater | 00:03:24 | 7CKLZEwboCy2juXMLsAHFt | USUM70808193 | 2008-01-01 | 50
OneRepublic | West Coast | West Coast | 00:03:12 | 0sBJA2OCEECMs0HsdIQhvR | USUM72202540 | 2022-02-25 | 62
a-ha | Take on Me | Hunting High and Low | 00:03:45 | 2WfaOiMkCvy7F5fcp2zZ8L | USWB19901214 | 1985-06-01 | 88
Taylor Swift | We Are Never Ever Getting Back Together | Red | 00:03:11 | 7AEAGTc8cReDqcbPoY9gwo | USCJY1231018 | 2012-10-22 | 61
Jagwar Twin | Happy Face | 33 | 00:02:49 | 4ochm99Pc9wVHnHIY3cqxb | QZNWS2055769 | 2022-09-30 | 2
Rex Orange County | Sunflower | Sunflower | 00:04:12 | 4EpZ4eYuZOwPSSwyqpdHnJ | US23A1500468 | 2017-03-22 | 3
Tobe Nwigwe | MURDER. | THE ORIGINALS. | 00:02:24 | 6dTiOETweqE2H7NMIDPdkt | QZ85M1800875 | 2018-05-27 | 0
Tobe Nwigwe | CHILL. | THE ORIGINALS. | 00:02:17 | 0TXT2lpgnrWskhMbqLCdbQ | QZ85M1800876 | 2018-05-27 | 0
Tobe Nwigwe | THE BLUES. | THE ORIGINALS. | 00:02:13 | 4rb3haKZVsEcNfTLYDD3pP | QZ85M1800877 | 2018-05-27 | 0
Tobe Nwigwe | JÔCKÎN. | THE ORIGINALS. | 00:02:32 | 3yFBJoZ7siKe6tOrJI57L2 | QZ85M1800880 | 2018-05-27 | 0
Tobe Nwigwe | I CHOOSE YOU. | THE ORIGINALS. | 00:03:50 | 5f1BUEwZmAVkgSjp2IGhxj | QZ85M1800881 | 2018-05-27 | 0
Quinn XCII | Full Circle | Full Circle | 00:03:37 | 2uHSDyFByIUeTUAxZCTRp0 | ushm81503552 | 2015-08-06 | 0
Gotye; Kimbra | Somebody That I Used To Know | Making Mirrors | 00:04:04 | 4wCmqSrbyCgxEXROQE6vtV | AUZS21100040 | 2011-01-01 | 80
The Fray | Over My Head (Cable Car) | How To Save A Life | 00:03:56 | 1N62wozuHCvczCkY4QidpP | USSM10502369 | 2005-09-13 | 75
The Fray | How to Save a Life | How To Save A Life | 00:04:22 | 5fVZC9GiM4e8vu99W0Xf6J | USSM10601178 | 2005-09-13 | 86
Martin Solveig; Dragonette | Hello (feat. Dragonette) | Hello | 00:03:11 | 3sl4dcqSwxHVnLfqwF2jly | FR2PA1000030 | 2010-12-14 | 71
Taylor Swift | I Knew You Were Trouble. | Red (Deluxe Edition) | 00:03:37 | 0ciHz919LVKoH4zgxyMPZ9 | USCJY1231039 | 2012-10-22 | 51
Rihanna | Where Have You Been | Talk That Talk | 00:04:02 | 3tyPOhuVnt5zd5kGfxbCyL | USUM71118074 | 2011-11-19 | 74
P!nk | So What | Funhouse (Expanded Edition) | 00:03:35 | 0JiY190vktuhSGN6aqJdrt | USLF20800067 | 2008-10-24 | 80
M.I.A. | Paper Planes | Kala | 00:03:23 | 1kusepF3AacIEtUTYrw4GV | GBBKS0700215 | 2007-01-01 | 9
Logic | Till The End | Under Pressure (Deluxe) | 00:05:12 | 66urf1ZXFy4qVKdNqcdbaZ | USUM71414232 | 2014-10-21 | 53
AJR | Overture | The Click (Deluxe Edition) | 00:03:34 | 5ZSRswKkamXEmLyfcgSija | QMRSZ1701238 | 2018-09-21 | 0
AJR | The Good Part | The Click (Deluxe Edition) | 00:03:47 | 7sDqfoy2Yv8iNQFBrehRlh | QMRSZ1701239 | 2018-09-21 | 0
AJR | Weak | The Click (Deluxe Edition) | 00:03:21 | 5bg2FC78V3s3QadEZI6V3e | USKFE1620002 | 2018-09-21 | 0
AJR; Rivers Cuomo | Sober Up | The Click (Deluxe Edition) | 00:03:38 | 705RTV4koxnA5jlxbGs29o | QMRSZ1701240 | 2018-09-21 | 0
AJR | Drama | The Click (Deluxe Edition) | 00:03:24 | 6FLUdxZ0yfCWRCmcb8kgXG | QMRSZ1701241 | 2018-09-21 | 0
AJR | Turning Out | The Click (Deluxe Edition) | 00:04:20 | 5QsghN74Cu1xxu1rTYJUzU | USKFE1620003 | 2018-09-21 | 0
AJR | No Grass Today | The Click (Deluxe Edition) | 00:04:19 | 7k4AIwFwod7UCq2qvQoxy1 | USKFE1620005 | 2018-09-21 | 0
AJR | Three-Thirty | The Click (Deluxe Edition) | 00:03:30 | 6qjHgp6jR9c0VJqOw6XBlY | QMRSZ1701242 | 2018-09-21 | 0
AJR | Call My Dad | The Click (Deluxe Edition) | 00:02:15 | 5qKTSItBFkJ2gLJqStRt1O | TCACK1515051 | 2018-09-21 | 0
AJR | I'm Not Famous | The Click (Deluxe Edition) | 00:03:40 | 5Z5hlAxTFoHFLuVFdUWrv7 | QM4ZV1500102 | 2018-09-21 | 0
AJR | Netflix Trip | The Click (Deluxe Edition) | 00:03:57 | 1hxdBkpmtdJhP6CiBQW4Hm | QMRSZ1701243 | 2018-09-21 | 0
AJR | Bud Like You | The Click (Deluxe Edition) | 00:03:50 | 4uKt8QYFT6rWoLaRLqfIZA | QMRSZ1701244 | 2018-09-21 | 0
AJR | Come Hang Out | The Click (Deluxe Edition) | 00:04:26 | 7cccUTy4GW6hL3kEifwVfb | USKFE1620001 | 2018-09-21 | 0
AJR | Burn the House Down | The Click (Deluxe Edition) | 00:03:32 | 0j7pdNXDzEVQST5Zcoh5xo | QMRSZ1800412 | 2018-09-21 | 1
AJR | Role Models | The Click (Deluxe Edition) | 00:03:12 | 56blIKRRWb8eUw27oqBS1z | QMRSZ1801065 | 2018-09-21 | 0
AJR | Normal | The Click (Deluxe Edition) | 00:03:05 | 61tglDZdrShZWVEU6J4Ogn | QMRSZ1801066 | 2018-09-21 | 0
AJR | Pretender - Acoustic | The Click (Deluxe Edition) | 00:03:01 | 7pVHKNbYuz5HWZ99iIQ0Mb | QMRSZ1701289 | 2018-09-21 | 0
J. Cole | Rich Niggaz | Born Sinner | 00:04:36 | 0QpYkajexWrB0P3TWvkHlm | USQX91301185 | 2013-06-14 | 0
Del Water Gap | Sorry I Am | Sorry I Am | 00:04:02 | 2XbtAowMkaRMktJFII7h0Y | USQE92100031 | 2021-03-31 | 34
Fuel | Hemorrhage (In My Hands) | Something Like Human | 00:03:56 | 1sjrDQXqAa9V07FjKIlAQ4 | USSM10011620 | 2000-09-19 | 67
